order_id,order_date,customer_id,customer_name,region,category,product_name,sales,quantity
2000,2023-01-10,C002,Meera,West,Technology,Monitor,22000,1
2001,2023-10-01,C001,Aarav,South,Office Supplies,Notebook,1600,2
2002,2023-01-09,C009,Karan,West,Office Supplies,Notebook,800,1
2003,2023-05-05,C010,Isha,North,Furniture,Office Chair,48000,4
2004,2023-01-29,C010,Isha,North,Furniture,Desk,100000,4
2005,2023-07-16,C007,Rohan,South,Furniture,Desk,75000,3
2006,2023-07-31,C003,Rahul,South,Technology,Laptop,300000,4
2007,2023-06-10,C005,Vikram,North,Technology,Monitor,44000,2
2008,2023-11-03,C003,Rahul,North,Technology,Laptop,300000,4
2009,2023-12-19,C010,Isha,North,Furniture,Office Chair,60000,5
2010,2023-06-25,C007,Rohan,North,Office Supplies,Pen Set,2400,2
2011,2023-02-21,C010,Isha,East,Office Supplies,Pen Set,4800,4
2012,2023-12-08,C005,Vikram,North,Furniture,Office Chair,24000,2
2013,2023-10-22,C001,Aarav,North,Furniture,Office Chair,24000,2
2014,2023-03-15,C007,Rohan,East,Office Supplies,Notebook,3200,4
2015,2023-08-05,C008,Neha,South,Office Supplies,Pen Set,2400,2
2016,2023-11-27,C005,Vikram,South,Technology,Monitor,88000,4
2017,2023-12-29,C006,Priya,North,Furniture,Desk,25000,1
2018,2023-08-04,C009,Karan,South,Technology,Monitor,22000,1
2019,2023-06-25,C002,Meera,West,Technology,Tablet,150000,5
2020,2023-10-10,C003,Rahul,South,Office Supplies,Notebook,1600,2
2021,2023-02-20,C003,Rahul,East,Furniture,Desk,125000,5
2022,2023-06-18,C009,Karan,South,Furniture,Office Chair,60000,5
2023,2023-04-13,C003,Rahul,West,Technology,Monitor,110000,5
2024,2023-09-11,C008,Neha,East,Technology,Monitor,110000,5
2025,2023-06-28,C003,Rahul,North,Office Supplies,Notebook,2400,3
2026,2023-05-14,C010,Isha,North,Technology,Laptop,300000,4
2027,2023-12-27,C005,Vikram,West,Technology,Laptop,300000,4
2028,2023-09-23,C006,Priya,South,Office Supplies,Pen Set,1200,1
2029,2023-06-28,C008,Neha,South,Technology,Laptop,375000,5
2030,2023-05-09,C003,Rahul,East,Office Supplies,Pen Set,1200,1
2031,2023-04-06,C002,Meera,East,Technology,Monitor,110000,5
2032,2023-07-23,C005,Vikram,North,Technology,Laptop,150000,2
2033,2023-05-12,C003,Rahul,North,Office Supplies,Notebook,800,1
2034,2023-08-28,C006,Priya,South,Technology,Tablet,150000,5
2035,2023-10-19,C009,Karan,East,Technology,Laptop,225000,3
2036,2023-07-12,C006,Priya,West,Furniture,Desk,100000,4
2037,2023-03-08,C004,Ananya,South,Office Supplies,Notebook,2400,3
2038,2023-07-01,C007,Rohan,East,Technology,Tablet,120000,4
2039,2023-10-28,C005,Vikram,South,Furniture,Office Chair,48000,4
2040,2023-05-08,C005,Vikram,North,Furniture,Office Chair,24000,2
2041,2023-06-06,C007,Rohan,North,Furniture,Office Chair,24000,2
2042,2023-05-25,C001,Aarav,West,Office Supplies,Pen Set,2400,2
2043,2023-01-18,C003,Rahul,East,Office Supplies,Notebook,1600,2
2044,2023-12-24,C009,Karan,East,Furniture,Office Chair,60000,5
